cod interno do cliente,Descrição,codigo fornecedores,Detalhe,Aplicação,Diam.Copinho,Diam.Rolamento,Face a Face Cruzeta
050.42D.STH,JUNTA UNIVERSAL COLUNA DIRECAO,HJU884,JUNTA 90°/COMPRIMENTO 100.00mm/79 ESTRIASX79 ESTRIAS/COM GRAXEIRO/APLICA CRUZETA CZ204(STH),DIVERSAS COLUNAS VOLVO,19.00mm,,47.00mm
050.42E.MIL,ARTICULACAO AXIAL,61352,ROSCA 20.00mmx18mm,,,,
050.42E.STH,JUNTA UNIVERSAL COLUNA DIRECAO,HJU887,JUNTA 30°/COMPRIMENTO 140.00mm/79 ESTRIASX79 ESTRIAS,DIVERSAS COLUNAS MB LO E OH,19.00mm,,47.00mm
050.42F.STH,JUNTA UNIVERSAL COLUNA DIRECAO,HJU888,JUNTA 30°/COMPRIMENTO 80.00mm/36 ESTRIASX54 ESTRIAS,DIVERSAS COLUNAS ENGESA,19.00mm,,47.00mm
050.42G.STH,JUNTA UNIVERSAL COLUNA DIRECAO,HJU946,JUNTA 90°/COMPRIMENTO 100.00mm/79 ESTRIASX79 ESTRIAS,DIVERSAS COLUNAS MB,19.00mm,,47.00mm
050.42H.STH,JUNTA UNIVERSAL COLUNA DIRECAO,RJU977,JUNTA 90°/COMPRIMENTO 100.00mm/79 ESTRIASX36 ESTRIAS,DIVERSAS COLUNAS VW,19.00mm,,47.00mm
050.42I.STH,JUNTA UNIVERSAL COLUNA DIRECAO,HJU813,JUNTA 30°/COMPRIMENTO 64.00mm/FLANGE 4 FUROS DOS DOIS LADOS,DIVERSAS COLUNAS MB OH,19.00mm,,47.00mm
050.42J.STH,JUNTA UNIVERSAL COLUNA DIRECAO,HJU814,JUNTA 30°/COMPRIMENTO 78.00mm/FLANGE 4 FUROS + BASE DE SOLDA Ө 18.90mm,DIVERSAS COLUNAS MB LPO E OF,19.00mm,,47.00mm
050.42L.STH,JUNTA UNIVERSAL COLUNA DIRECAO,HJU824,JUNTA 30°/COMPRIMENTO 92.00mm/BASE DE SOLDA Ө 18.90mm DOS DOIS LADOS,DIVERSAS COLUNAS TOYOTA,19.00mm,,47.00mm
050.42M.STH,JUNTA UNIVERSAL COLUNA DIRECAO,HJU815,JUNTA 30°/COMPRIMENTO 494.00mm/FLANGE 4 FUROS + ROSCA Ө 24.00X1.50mm,DIVERSAS COLUNAS MB OF,19.00mm,,47.00mm
