cod interno do cliente,Descrição,codigo fornecedores,Detalhe,Aplicação,Diam.Copinho,Diam.Rolamento,Face a Face Cruzeta
150.68A.NOB,TERMINAL FURO TRIANGULAR,TIN52,"Δ 45,30 mm/APLICA CI59/MACHO",TDP SERIE 5000,30.20mm,,106.20mm
150.69.AEM,TERMINAL LIMITADOR,CC70,6 ESTRIAS/Ө 1 3/8''(ENTRE ESTRIAS)/BICO DE PATO,TDP SERIE 5000,30.20mm,,106.20mm
150.71.AEM,NUCLEO CENTRAL,EA605.30,Ө 45.00mm/CHAVETA 3/8''/APERTO LATERAL/APLICA SERIES TDP≥2500,TDP SERIE 5000,30.20mm,,106.20mm
150.71A.AEM,NUCLEO SEXTAVADO,EA205.35,Ө 28.00mm/SEM CHAVETA/APERTO LATERAL 1.1/4/APLICA SERIES TDP≥5000,TDP SERIE 5000,30.20mm,,106.20mm
150.71B.AEM,NUCLEO CENTRAL,EA505.34,Ө 40.00mm/CHAVETA 10'/APERTO LATERAL C/ INTERF/APLICA SERIES TDP≥2500 A 6000,TDP SERIE 5000,30.20mm,,106.20mm
150.71C.AEM,NUCLEO CENTRAL,EA505.28,Ө 45.00mm/CHAVETA 10/APERTO LATERAL C/ INTERF /APLICA SERIES TDP≥2500 A 6000,TDP SERIE 5000,30.20mm,,106.20mm
150.71D.AEM,NUCLEO CENTRAL,EA505.33,Ө 40.00mm/CHAVETA 3/8''/APERTO LATERAL C/ INTERF/APLICA SERIES TDP≥2500 A 6000,TDP SERIE 5000,30.20mm,,106.20mm
150.73.AEM,PINO ELASTICO,072.450.9,Ө 10.00X85.00mm,TDP SERIE 5000,,,
150.73A.AEM,PINO ELASTICO,038.154.6,Ө 6.00X75.00mm,TDP SERIES 2500 A 6000,,,
150.73B.AEM,PINO ELASTICO,002.820.6,Ө 10.00X60.00mm,TDP SERIES 5000/6000,,,
150.73C.AEM,PINO ELASTICO,067.101.8,Ө 10.00X100.00mm,TDP SERIE 5000/6000/8000/11000,,,
150.76.AEM,CARDAN AGRICOLA,CC5010.7P,QUADRADO/ENGATE RAPIDO/TERMINAL Ө 35.00mm,TDP SERIE 5000,30.20mm,,106.20mm
150.79.AEM,DISCO DE FRICCAO,107.103.0,8 FUROS,TDP SERIE 5000,,,
150.79A.AEM,DISCO SINTERIZADO DENTES EXTERNOS,070.958.2,USADO SOMENTE EM EMBREAGEM SINTERIZADA,TDP SERIE 5000,,,
150.79B.AEM,DISCO DENTADO INTERNO,027.509.0,USADO SOMENTE EM EMBREAGEM SINTERIZADA,TDP SERIE 5000,,,
150.D6.1002L,CARDAN COMPLETO,8041.4049/0825X,CARDAN COMPLETO DE FABRICA/CZ 5.160 C/MANCAL CENTRAL E TERMINAL/MEDINDO 1002MM CENTRO A CENTRO CZ,TIPO F600/COM CRUZETA 5.160X,30.10mm,,106.30mm
150.T1.0690LZ,CARDAN COMPLETO,6041.1028/0310X,CARDAN COMPLETO DE FABRICA/CZ 5.160 C/CONJ DESLIZ. LUVA 3.3.118KX1/MEDINDO 690MM FECHADO COM FLANGES,TIPO F600/COM CRUZETA 5.160X,30.10mm,,106.30mm
150.T13.0830LZ,CARDAN COMPLETO,6041.5019/0590X,CARDAN COMPLETO DE FABRICA/CZ 5.160 C/CONJ DESLIZ. LUVA 3.3.118KX1/MEDINDO 830MM FECHADO,TIPO F600/COM CRUZETA 5.160X,30.10mm,,106.30mm
150.TD.1000X.CB,KIT CARDAN COMPLETO,,CARDANS MONTADOS DA FAMILIA 150 A 190 DO CODIGO ITEM,TIPO F750,34.90mm,,106.20mm
150.TD.1000XCB,KIT CARDAN COMPLETO,,CARDANS MONTADOS DA FAMILIA 150 A 190 DO CODIGO ITEM,TIPO F750,34.90mm,,106.20mm
15085421,CARDAN CENTRAL TRANSMISSAO 15085421 REC,15085421,,DIVERSAS,,,
151.10.DIST,CRUZETA DO CARDAN,5.641X,N° ORIGINAL FORD/SEM GRAXEIRO,F250/F350 EUROTECH/VW5.140,30.10mm,,106.30mm
151.10.SPI,CRUZETA DO CARDAN,5.641X,N° ORIGINAL FORD/SEM GRAXEIRO,F250/F350 EUROTECH/VW5.140,30.10mm,,106.30mm
151.10.STH,CRUZETA DO CARDAN,CZ292,N° ORIGINAL FORD/SEM GRAXEIRO,F250/F350 EUROTECH/VW5.140,30.10mm,,106.30mn
151.1063.NK,PASTILHA DE FREIO,NKF1063P,DIREITO E ESQUERDO/1998 A 2012 COM E SEM ABS,F-250/F-350/F-4000 DE 98/15,,,
151.10A.SPI,CRUZETA DO CARDAN,SPL36-1X,N° ORIGINAL FORD/SEM GRAXEIRO,F250/F350 EUROTECH/VW5.140,30.10mm,,106.30mm
151.401415.ALB,COROA E PINHAO,ALBBA401415.X,,F-250/ IVECO DAILY/SCUDATT,,,
151.8075.ALB,CUBO RODA,ALB70.288,"DIREITO E ESQUERDO 4X4 08 FUROS DE 2006 A 2012 C/FREIOS ABS/ROSCA M14 X 1,5mm",F-250 4X4,,,
151.8075.NK,CUBO RODA DIANT C ROLAM,NKF8075,DIREITO E ESQUERDO 4X4 08 FUROS DE 2006 A 2012 C/FREIOS ABS (COD.IMA AL47),F-250 4X4,,,
151.92020.NK,PIVO DE SUSPENSAO,N92020,SUPERIOR-DIREITO E ESQUERDO,F350/F250 S/ABS 99 A 17,30.10mm,,106.30mm
151.T10.1630.LX,CARDAN COMPLETO,6041.5005/1300X,CARDAN COMPLETO DE FABRICA,F250 CABINE SIMPLES,30.10mm,,106.30mm
151.T2.0285.LZ,CARDAN COMPLETO,,BASF FL USINADA 130mm PILOTO MACHO 89.9mm C.C.FURO 108mm /6 FUROS 12.5mm POSICAO DE TRAB. 304mm F.F,BASF F600,,,
152.10.CC,CRUZETA DO CARDAN MANCALIZADA,2911,2 MANCAIS Ө 107.90mm/2 COPINHOS,PA CARREGADEIRA 1900B CONVERSO,30.10mm,,106.20mm
152.10.SPI,CRUZETA DO CARDAN MANCALIZADA,5.345X,2 MANCAIS Ө 107.90mm/2 COPINHOS,PA CARREGADEIRA 1900B CONVERSO,30.10mm,,106.20mm
152.10.STH,CRUZETA DO CARDAN MANCALIZADA,CZ112,2 MANCAIS Ө 107.90mm/2 COPINHOS,PA CARREGADEIRA 1900B CONVERSO,30.10mm,,106.20mm
153.10.ALB,CRUZETA DO CARDAN MANCALIZADA,ALB5.4143X,4 MANCAIS TIPO 5.160XS(SPI)/N° ORIGINAL FIAT ALLIS,FIAT ALLIS 1900B,36.50mm,,107.90mm
153.10.CC,CRUZETA DO CARDAN MANCALIZADA,2914,4 MANCAIS TIPO 5.160XS(SPI)/N° ORIGINAL FIAT ALLIS,FIAT ALLIS 1900B,36.50mm,,107.90mm
153.10.SPI,CRUZETA DO CARDAN MANCALIZADA,5.4143X,4 MANCAIS TIPO 5.160XS(SPI)/N° ORIGINAL FIAT ALLIS,FIAT ALLIS 1900B,36.50mm,,107.90mm
153.10.STH,CRUZETA DO CARDAN MANCALIZADA,CZ110,4 MANCAIS TIPO 5.160XS(SPI)/N° ORIGINAL FIAT ALLIS,FIAT ALLIS 1900B,36.50mm,,107.90mm
153.10A.CC,CRUZETA DO CARDAN MANCALIZADA,3205,4 MANCAIS TIPO 5.160XS(SPI)/ FACE A FACE 107.90mm/ 36.50mm ENTRE FUROS,,36.50mm,,107.90mm
154.10.CC,CRUZETA DO CARDAN MANCALIZADA,2933,2 MANCAIS Ө 115.00mm/2 COPINHOS,PA CARREGADEIRA CASE W7,30.10mm,,106.20mm
154.10.SPI,CRUZETA DO CARDAN MANCALIZADA,5.12913X,2 MANCAIS Ө 115.00mm/2 COPINHOS,PA CARREGADEIRA CASE W7,30.10mm,,106.20mm
154.10.STH,CRUZETA DO CARDAN MANCALIZADA,CZ266,2 MANCAIS Ө 115.00mm/2 COPINHOS,PA CARREGADEIRA CASE W7,30.10mm,,106.20mm
154.10A.CC,CRUZETA DO CARDAN MANCALIZADA,3200,2 MANCAIS,EMPILHADEIRA NISSAN MITSUBISHI,28.60mm,,
155.10.CC,CRUZETA DO CARDAN,2692,4 COPINHOS/TRAVA INTERNA,L200 TRITON,30.00mm,,77.00mm
155.10.LN,CRUZETA DO CARDAN,801212,4 COPINHOS/TRAVA INTERNA,L200 TRITON,30.00mm,,77.00mm
155.10.PTR,CRUZETA DO CARDAN,9989,4 COPINHOS/TRAVA INTERNA,L200 TRITON,30.00mm,,77.00mm
155.10.STH,CRUZETA DO CARDAN,CZ223,4 COPINHOS/TRAVA INTERNA,L200 TRITON,30.00mm,,77.00mm
155.10A.CC,CRUZETA DO CARDAN,2969,4 COPINHOS/TRAVA INTERNA/ 2018 EM DIANTE,L200 TRITON 2018 EM DIANTE,29.00,,72.00mm
155.10A.LN,CRUZETA DO CARDAN,801171,4 COPINHOS/TRAVA INTERNA,L200 TRITON,30.00mm,,77.00mm
155.11.LN,GARFO DO CARDAN,41.705,BASE DE SOLDA Ө 74.00mm/TRAVA INTERNA,L200 TRITON,30.00mm,,77.00mm
155.11.PTR,GARFO DO CARDAN,5237,BASE DE SOLDA Ө 74.00mm/TRAVA INTERNA,L200 TRITON,30.00mm,,77.00mm
155.11.RAP,GARFO DO CARDAN,S723,BASE DE SOLDA Ө 74.00mm/TRAVA INTERNA,L200 TRITON,30.00mm,,77.00mm
155.12.PTR,LUVA DO CARDAN,5236,29 ESTRIAS/COM CAVA/TRAVA INTERNA,L200 TRITON,30.00mm,,77.00mm
155.12.RAP,LUVA DO CARDAN,SP3072,29 ESTRIAS/COM CAVA/TRAVA INTERNA,L200 TRITON,30.00mm,,77.00mm
155.12.SC,LUVA DO CARDAN,SL55,30 ESTRIAS/COM CAVA/TRAVA INTERNA / CRUZETA MR377128,L200 TRITON,30.00mm,,77.00mm
155.15.RAP,PONTEIRA FIXA,SP3073,29 ESTRIAS/COM CAVA/TRAVA INTERNA,L200 TRITON,30.00mm,,77.00mm
155.16.RAP,FLANGE DE ORELHA,S726,4 FUROS Ө 12.20mm/DISCO Ө 110.00mm/MACHO PILOTO Ө 45.00mm,L 200 TRITON,30.00mm,,77.00mm
155.16.SC,FLANGE DE ORELHA,SF72,4 FUROS Ө 12.00mm/MACHO PILOTO Ө 45.00mm,L 200 TRITON,30.00mm,,77.00mm
155.16.SPI,FLANGE DE ORELHA,5004016,4 FUROS Ө 12.20mm/DISCO Ө 110.00mm/MACHO PILOTO Ө 45.00mm,L 200 TRITON,30.00mm,,77.00mm
155.16A.RAP,FAMILIA CORRETA É A 445,S727,4 FUROS Ө 12.20mm/DISCO Ө 110.00mm/MACHO PILOTO Ө 45.00mm,L 200 TRITON,30.00mm,,77.00mm IN
155.17.SPI,FLANGE DE ACOPLAMENTO,BA401524-X,DIFERENCIAL/EIXO DANA 216 2.5 TURBO 4X4,L 200 DE 2004 ATÉ 2007,30.00mm,,77.00mm
155.19.RAP,TERMINAL DO CARDAN,S725,BASE DE SOLDA Ө 74.00mm/TRAVA INTERNA,L200 TRITON,30.00mm,,77.00mm
155.27.SR,MANCAL COMPLETO CARDAN,R7017,PROJETO SUPORTE REI,L 200 TRITON 2017 EM DIANTE,,45.00mm,
155.32.RAP,PORCA DA PONTEIRA  22X1.5mm,SC10393,CARDAN E CAMBIO/APLICA PONTA FIXA ROSCA 22.00X1.50mm Monta com: S-725 / SP-3073,L200 TRITON 4X4,,,
155.953361.SPI,SEMI EIXO HOMOCINETICO,953361HD,ESQUERDO 4X4 /L 200 TRITON 20008-2016/ DAKAR 2010-2015,L 200 TRITON / PAJERO DAKAR,,,
155.953362.SPI,SEMI EIXO HOMOCINETICO,953362HD,DIREITO 4X4 /L 200 TRITON 20008-2016/ DAKAR 2010-2015,L 200 TRITON / PAJERO DAKAR,,,
156.10.AEM,CRUZETA DO CARDAN,CC55H,COM GRAXEIRO CENTRAL/L1=102.50mm/L2=96.00mm,TDP SERIE 2500 E 5000,30.00mm,,102.50/96.
156.64.AEM,TERMINAL ENGATE RAPIDO HOMOCINETICO,CCH8,6 ESTRIAS/Ө 1 3/8''(ENTRE ESTRIAS)/JUNTA HOMOCINETICA,TDP SERIE 2500 E 5000,30.00mm,,102.50/96.
156.64A.AEM,JUNTA HOMOCINETICA,JH5000,6 ESTRIAS SAÍDA TRIANGULAR/COMPLETA,TDP SERIE 2500 E 5000,30.00mm,,102.50/96.
156.64B.AEM,TERMINAL BOLA HOMOCINETICO,CCH4,FLANGEADO COM 6 PARFUSOS M8,TDP SERIE 2500 E 5000,30.00mm,,102.50/96.
156.65.SPI,KIT DE REPARO JUNTA HOMOCINETICA,2.13.759G,LADO CAMBIO ESQUERDO E DIREITO VW KOMBI 1.4/1.6 98-09,VW KOMBI 1.4/1.6 98-09,,,
157.10.CC,CRUZETA DO CARDAN,2660,2 COPINHOS/TRAVA INTERNA/MANCALIZADA,MAQUINA,29.00mm,,107MM
157.19..RCB,TERMINAL H,RCB157.19,2 COPINHOS/TRAVA INTERNA/MANCALIZADA,MAQUINA,29.00mm,,107MM
157.19.RCB,TERMINAL H,RCB157.19,2 COPINHOS/TRAVA INTERNA/MANCALIZADA,MAQUINA,29.00mm,,107MM
158.10.PTR,CRUZETA DO CARDAN,6966,4 COPINHOS/TRAVA INTERNA,L200 OUTDOR,30.00mm,,61.00mm
158.11.PTR,GARFO DO CARDAN,5210,BASE DE SOLDA Ө 72.00mm/TRAVA INTERNA,L200 OUTDOR,30.00mm,,61.00mm
158.12.PTR,LUVA DO CARDAN,5209,COM CAVA/TRAVA INTERNA,L200 OUTDOR,30.00mm,,61.00mm
160.01BT,BARRA TORCAO,,,F4000,,,
160.10..RCB,CRUZETA DO CARDAN,160.RCB,Nº ORIGINAL VW/FORD,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.10.ALB,CRUZETA DO CARDAN,ALB5.263,Nº ORIGINAL VW/FORD,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.10.ATM,CRUZETA DO CARDAN,CT5263,Nº ORIGINAL VW/FORD,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.10.CC,CRUZETA DO CARDAN,2901,Nº ORIGINAL VW/FORD,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.10.DIST,CRUZETA DO CARDAN,ALB5.263,Nº ORIGINAL VW/FORD,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.10.MRT,CRUZETA DO CARDAN,801001,Nº ORIGINAL VW/FORD,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.10.NK,CRUZETA DO CARDAN,NUJ263,Nº ORIGINAL VW/FORD,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.10.RCB,CRUZETA DO CARDAN,160.RCB,Nº ORIGINAL VW/FORD,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.10.SPI,CRUZETA DO CARDAN,5.263XS,Nº ORIGINAL VW/FORD,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.10.STH,CRUZETA DO CARDAN,CZ254,Nº ORIGINAL VW/FORD,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.104.NK,BARRA DE DIRECAO,N2158,F-4000 4X2,F-4000 1999 A 2015,,,
160.11..RCB,GARFO DO CARDAN,160.RCB,BASE DE SOLDA Ө 85.00mm,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.11.ALB,GARFO DO CARDAN,ALB3.28.537,BASE DE SOLDA Ө 85.00mm,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.11.IN,GARFO DO CARDAN,1205,BASE DE SOLDA Ө 85.00mm,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.11.LN,GARFO DO CARDAN,41.068,BASE DE SOLDA Ө 85.00mm,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.11.MRT,GARFO DO CARDAN,801308,BASE DE SOLDA Ө 85.00mm,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.11.NK,GARFO DO CARDAN,NC06003,BASE DE SOLDA Ө 85.00mm,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.11.RAP,GARFO DO CARDAN,S187,BASE DE SOLDA Ө 85.00mm,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.11.RCB,GARFO DO CARDAN,160.RCB,BASE DE SOLDA Ө 85.00mm,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.11.SC,GARFO DO CARDAN,SG15,BASE DE SOLDA Ө 85.00mm,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.11.SPI,GARFO DO CARDAN,3.28.537,BASE DE SOLDA Ө 85.00mm,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.11.STH,GARFO DO CARDAN,HGF603,BASE DE SOLDA Ө 85.00mm,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.11A.RAP,GARFO DO CARDAN,S716,BASE DE SOLDA Ө 85.00mm,F750/CARGO 815/MB 709,34.90mm,,106.20mm
160.12.MEC,LUVA DO CARDAN,LV1348,RETENTOR APLICA PONTA PESCOCO,AGRALE MA 8.5/VOLARE A8,34.90mm,,106.20mm
160.12.RAP,LUVA DO CARDAN,SP3063,APLICA PONTEIRA SPI 3.53.2331/PONTEIRA LNG 41.529,F4000 MODERNO,34.90mm,,106.20mm
160.12.RCB,LUVA DO CARDAN,160.RCB,RETENTOR APLICA PONTA BASE ROLAMENTO,F750/VW 8.150/CARGO 815,34.90mm,,106.20mm
160.12.SC,LUVA DO CARDAN,SL22L,RETENTOR APLICA PONTA PESCOCO,AGRALE MA 8.5/VOLARE A8,34.90mm,,106.20mm
160.12.SPI,LUVA DO CARDAN,3.3.1601KX1,RETENTOR APLICA PONTA PESCOCO,AGRALE MA 8.5/VOLARE A8,34.90mm,,106.20mm
160.12A.CC,LUVA DO CARDAN,41601,RETENTOR APLICA PONTA BASE ROLAMENTO,F750/VW 8.150/CARGO 815,34.90mm,,106.20mm
160.12A.IN,LUVA DO CARDAN,1106.ZN,RETENTOR APLICA PONTA BASE ROLAMENTO,F750/VW 8.150/CARGO 815,34.90mm,,106.20mm
160.12A.LN,LUVA DO CARDAN,41.077,RETENTOR APLICA PONTA BASE ROLAMENTO,F750/VW 8.150/CARGO 815,34.90mm,,106.20mm
160.12A.MRT,LUVA DO CARDAN,801419,RETENTOR APLICA PONTA BASE ROLAMENTO,F750/VW 8.150/CARGO 815,34.90mm,,106.20mm
160.12A.NK,LUVA DO CARDAN,NC08003,RETENTOR APLICA PONTA BASE ROLAMENTO,F750/VW 8.150/CARGO 815,34.90mm,,106.20mm
160.12A.RAP,LUVA DO CARDAN,SP3071,RETENTOR APLICA PONTA BASE ROLAMENTO,F750/VW 8.150/CARGO 815,34.90mm,,106.20mm
160.12A.SPI,LUVA DO CARDAN,3.3.1601KXS,RETENTOR APLICA PONTA BASE ROLAMENTO,F750/VW 8.150/CARGO 815,34.90mm,,106.20mm
160.12A.STH,LUVA DO CARDAN,HLV607,RETENTOR APLICA PONTA BASE ROLAMENTO,F750/VW 8.150/CARGO 815,34.90mm,,106.20mm
160.12B.LN,LUVA DO CARDAN,41.530,APLICA PONTEIRA SPI 3.53.2331/PONTEIRA LNG 41.529,F4000 MODERNO,34.90mm,,106.20mm
160.12B.NK,LUVA DO CARDAN,NC08011,APLICA PONTEIRA SPI 3.53.2331/PONTEIRA LNG 41.529,F4000 MODERNO,34.90mm,,106.20mm
160.12B.SPI,LUVA DO CARDAN,3.3.6061X,APLICA PONTEIRA SPI 3.53.2331/PONTEIRA LNG 41.529,F4000 MODERNO,34.90mm,,106.20mm
160.12C.RAP,LUVA DO CARDAN,S207,20 ESTRIAS,JOHN DEERE 7810,34.90mm,,106.20mm
160.12D.RAP,LUVA DO CARDAN,S212,20 ESTRIAS,JOHN DEERE 7810,34.90mm,,106.20mm
160.12E.RAP,LUVA DO CARDAN,SP3069,RETENTOR APLICA PONTA PESCOCO,AGRALE MA 8.5/VOLARE A8,34.90mm,,106.20mm
160.13..RCB,KIT LUVA PONTEIRA,160.RCB,LUVA 3.3.1601KX1 COM PONTEIRA 3.40.1571,AGRALE MA 8.5/VOLARE A8,34.90mm,,106.20mm
160.13.RAP,KIT LUVA PONTEIRA,S715,LUVA 3.3.1601KX1 COM PONTEIRA 3.40.1571,AGRALE MA 8.5/VOLARE A8,34.90mm,,106.20mm
160.13.RCB,KIT LUVA PONTEIRA,160.RCB,LUVA 3.3.1601KX1 COM PONTEIRA 3.40.1571,AGRALE MA 8.5/VOLARE A8,34.90mm,,106.20mm
160.13.SPI,KIT LUVA PONTEIRA,43.15711601KX,LUVA 3.3.1601KX1 COM PONTEIRA 3.40.1571,AGRALE MA 8.5/VOLARE A8,34.90mm,,106.20mm
160.14..RCB,PONTEIRA DESLIZANTE,160.RCB,PESCOCO/BASE DE SOLDA Ө 85.00mm,AGRALE MA 8.5/VOLARE A8,,,
160.14.CC,PONTEIRA DESLIZANTE,41571,PESCOCO/BASE DE SOLDA Ө 85.00mm,AGRALE MA 8.5/VOLARE A8,,,
160.14.IN,PONTEIRA DESLIZANTE,3315,PESCOCO/BASE DE SOLDA Ө 85.00mm,AGRALE MA 8.5/VOLARE A8,,,
160.14.LN,PONTEIRA DESLIZANTE,41.117,PESCOCO/BASE DE SOLDA Ө 85.00mm,AGRALE MA 8.5/VOLARE A8,,,
160.14.MRT,PONTEIRA DESLIZANTE,801614,PESCOCO/BASE DE SOLDA Ө 85.00mm,AGRALE MA 8.5/VOLARE A8,,,
160.14.NK,PONTEIRA DESLIZANTE,NC11011,PESCOCO/BASE DE SOLDA Ө 85.00mm,AGRALE MA 8.5/VOLARE A8,,,
160.14.RAP,PONTEIRA DESLIZANTE,SP3070,PESCOCO/BASE DE SOLDA Ө 85.00mm,AGRALE MA 8.5/VOLARE A8,,,
160.14.RCB,PONTEIRA DESLIZANTE,160.RCB,PESCOCO/BASE DE SOLDA Ө 85.00mm,AGRALE MA 8.5/VOLARE A8,,,
160.14.SC,PONTEIRA DESLIZANTE,SP21,PESCOCO/BASE DE SOLDA Ө 85.00mm,AGRALE MA 8.5/VOLARE A8,,,
160.14.SPI,PONTEIRA DESLIZANTE,3.40.1571,PESCOCO/BASE DE SOLDA Ө 85.00mm,AGRALE MA 8.5/VOLARE A8,,,
160.14.STH,PONTEIRA DESLIZANTE,HPT614,PESCOCO/BASE DE SOLDA Ө 85.00mm,AGRALE MA 8.5/VOLARE A8,,,
160.14A..RCB,PONTEIRA DESLIZANTE,RCB(3.53.451),BASE DE SOLDA Ө 85.00mm,F750/VW 8.150,,40.00mm,
160.14A.ALB,PONTEIRA DESLIZANTE,ALB3.53.451,BASE DE SOLDA Ө 85.00mm,F750/VW 8.150,,40.00mm,
160.14A.CC,PONTEIRA DESLIZANTE,43451,BASE DE SOLDA Ө 85.00mm,F750/VW 8.150,,40.00mm,
160.14A.IN,PONTEIRA DESLIZANTE,1308,BASE DE SOLDA Ө 85.00mm,F750/VW 8.150,,40.00mm,
160.14A.LN,PONTEIRA DESLIZANTE,301121,BASE DE SOLDA Ө 85.00mm,F750/VW 8.150,,40.00mm,
160.14A.MRT,PONTEIRA DESLIZANTE,801604,BASE DE SOLDA Ө 85.00mm,F750/VW 8.150,,40.00mm,
160.14A.NK,PONTEIRA DESLIZANTE,NC11005,BASE DE SOLDA Ө 85.00mm,F750/VW 8.150,,40.00mm,
160.14A.RAP,PONTEIRA DESLIZANTE,SP3058,16 ESTRIAS/ MONTA COM SP3071/ COM BASE PARA ROLAMENTO,AGRALE MA 8.5/VOLARE A8,,,
160.14A.RCB,PONTEIRA DESLIZANTE,RCB(3.53.451),BASE DE SOLDA Ө 85.00mm,F750/VW 8.150,,40.00mm,
160.14A.SPI,PONTEIRA DESLIZANTE,3.53.451,BASE DE SOLDA Ө 85.00mm,F750/VW 8.150,,40.00mm,
160.14A.STH,PONTEIRA DESLIZANTE,HPT616,BASE DE SOLDA Ө 85.00mm,F750/VW 8.150,,40.00mm,
160.14B..RCB,PONTEIRA DESLIZANTE,RCB(3.53.2331),APLICA LUVA SPI 3.3.6061X/NC08011,F4000 MODERNO PITBULL,,40.00mm,
160.14B.ALB,PONTEIRA DESLIZANTE,ALB3.53.2331,APLICA LUVA SPI 3.3.6061X/NC08011,F4000 MODERNO PITBULL,,40.00mm,
160.14B.LN,PONTEIRA DESLIZANTE,41.529,APLICA LUVA SPI 3.3.6061X/LUVA LNG 41.530,F4000 MODERNO PITBULL,,40.00mm,
160.14B.NK,PONTEIRA DESLIZANTE,NC11004,APLICA LUVA SPI 3.3.6061X/NC08011,F4000 MODERNO PITBULL,,40.00MM,
160.14B.RCB,PONTEIRA DESLIZANTE,RCB(3.53.2331),APLICA LUVA SPI 3.3.6061X/NC08011,F4000 MODERNO PITBULL,,40.00mm,
160.14B.SC,PONTEIRA DESLIZANTE,SP53,APLICA LUVA SPI 3.3.6061X/SP3063/SP3064,F4000 MODERNO PITBULL,,40.00mm,
160.14B.SPI,PONTEIRA DESLIZANTE,3.53.2331,APLICA LUVA SPI 3.3.6061X/NC08011,F4000 MODERNO PITBULL,,40.00mm,
160.14B.STH,PONTEIRA DESLIZANTE,RPT638,APLICA LUVA SPI 3.3.6061X/SP3063/SP3064,F4000 MODERNO PITBULL,,40.00mm,
160.14BRAP,PONTEIRA DESLIZANTE,SP3053,APLICA LUVA SPI 3.3.6061X/SP3063/SP3064,F4000 MODERNO PITBULL,,40.00mm,
160.14C.MRT,PONTEIRA DESLIZANTE,801615,BASE DE SOLDA Ө 72.00mm,F750/VW 8.150,,40.00mm,
160.15..RCB,PONTEIRA FIXA,RCB(3.53.1821),BASE DE SOLDA Ө 85.00mm,F.750/VW 8.150/AGRALE MA 8.5,,40.00mm,
160.15.ALB,PONTEIRA FIXA,4.53.541,BASE DE SOLDA Ө 85.00mm,F.750/VW 8.150/AGRALE MA 8.5,,40.00mm,
160.15.IN,PONTEIRA FIXA,3316,BASE DE SOLDA Ө 85.00mm,F.750/VW 8.150/AGRALE MA 8.5,,40.00mm,
160.15.LN,PONTEIRA FIXA,41.089,BASE DE SOLDA Ө 85.00mm,F.750/VW 8.150/AGRALE MA 8.5,,40.00mm,
160.15.MRT,PONTEIRA FIXA,801502,BASE DE SOLDA Ө 85.00mm,F.750/VW 8.150/AGRALE MA 8.5,,40.00mm,
160.15.NK,PONTEIRA FIXA,NC12004,BASE DE SOLDA Ө 85.00mm,F.750/VW 8.150/AGRALE MA 8.5,,40.00mm,
160.15.RAP,PONTEIRA FIXA,SP3044,BASE DE SOLDA Ө 85.00mm,F.750/VW 8.150/AGRALE MA 8.5,,40.00mm,
160.15.RCB,PONTEIRA FIXA,RCB(3.53.1821),BASE DE SOLDA Ө 85.00mm,F.750/VW 8.150/AGRALE MA 8.5,,40.00mm,
160.15.SPI,PONTEIRA FIXA,3.53.1821,BASE DE SOLDA Ө 85.00mm,F.750/VW 8.150/AGRALE MA 8.5,,40.00mm,
160.15.STH,PONTEIRA FIXA,RPT629,BASE DE SOLDA Ө 85.00mm,F.750/VW 8.150/AGRALE MA 8.5,,40.00mm,
160.15A..RCB,KIT PONTEIRA FIXA E FLANGE DE ACOPLAMENTO,RCB160.15A,BASE DE SOLDA Ө 85.00mm / FLANGE DISCO 120MM FEMEA 70MM 4 FURO,F.750/VW 8.150/AGRALE MA 8.5,,40.00mm,
160.15A.RCB,KIT PONTEIRA FIXA E FLANGE DE ACOPLAMENTO,RCB160.15A,BASE DE SOLDA Ө 85.00mm / FLANGE DISCO 120MM FEMEA 70MM 4 FURO,F.750/VW 8.150/AGRALE MA 8.5,,40.00mm,
160.16.LN,FLANGE DE ORELHA,301068,4 FUROS Ө 1/2''/MACHO PILOTO Ө 95.30mm,F750/LINHA INDUSTRIAL,34.90mm,,106.20mm
160.16.RAP,FLANGE DE ORELHA,S135,4 FUROS Ө 1/2''/MACHO PILOTO Ө 95.30mm,F750/LINHA IND/PUL.JACTO,34.90mm,,106.20mm
